program_code,program_name,university,institution,domain
20546,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﺒﻴﻮﺗﻜﻨﻮﻟﻮﺟﻴﺎ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﻔﻼﺣﻴﺔ ﻭﺍﻟﺒﻴﻮﺗﻜﻨﻮﻟﻮﺟﻴﺎ ﻭﺍﻟﺒﻴﺌﺔ
20573,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺗﻜﻨﻮﻟﻮﺟﻴﺎﺕ ﺍﻟﻤﻌﻠﻮﻣﺎﺕ ﻭﺍﻻﺗﺼﺎﻻﺕ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20603,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻄﺎﻗﻴﺔ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20629,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻹﻟﻜﺘﺮﻭﻧﻴﻚ ﻭﺍﻟﻜﻬﺮﻭﺗﻘﻨﻴﺔ ﻭﺍﻵﻟﻴﺔ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20832,ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ: ﺑﻴﻮﻟﻮﺟﻴﺎ - ﺟﻴﻮﻟﻮﺟﻴﺎ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﺍﻟﻤﻌﻬﺪ ﺍﻟﺘﺤﻀﻴﺮﻱ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﻬﻨﺪﺳﻴﺔ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ
20844,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻌﻠﻮﻡ ﺍﻟﻔﻼﺣﻴﺔ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﺍﻟﻤﺪﺭﺳﺔ ﺍﻟﻌﻠﻴﺎ ﻟﻠﻔﻼﺣﺔ ﺑﻤﻘﺮﻥ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﻔﻼﺣﻴﺔ ﻭﺍﻟﺒﻴﻮﺗﻜﻨﻮﻟﻮﺟﻴﺎ ﻭﺍﻟﺒﻴﺌﺔ
20846,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﻋﻠﻮﻡ ﺍﻟﺒﺤﺎﺭ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻌﻠﻮﻡ ﺍﻟﺒﺤﺎﺭ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﻔﻼﺣﻴﺔ ﻭﺍﻟﺒﻴﻮﺗﻜﻨﻮﻟﻮﺟﻴﺎ ﻭﺍﻟﺒﻴﺌﺔ
21391,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺇﺩﺍﺭﺓ ﺍﻷﻋﻤﺎﻝ,ﺍﻹﺩﺍﺭﺓ ﺍﻟﻌﺎﻣﺔ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺔ,ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺔ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻹﻗﺘﺼﺎﺩﻳﺔ ﻭﻋﻠﻮﻡ ﺍﻟﺘﺼﺮﻑ
21394,ﺍﻻﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻤﺤﺎﺳﺒﺔ ﻭ ﺍﻟﻤﺎﻟﻴﺔ,ﺍﻹﺩﺍﺭﺓ ﺍﻟﻌﺎﻣﺔ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺔ,ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺔ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻹﻗﺘﺼﺎﺩﻳﺔ ﻭﻋﻠﻮﻡ ﺍﻟﺘﺼﺮﻑ
21396,ﺍﻻﺟﺎﺯﺓ ﻓﻲ ﺍﻟﺘﺠﺎﺭﺓ ﻭﺍﻟﺘﻮﺯﻳﻊ,ﺍﻹﺩﺍﺭﺓ ﺍﻟﻌﺎﻣﺔ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺔ,ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺔ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻹﻗﺘﺼﺎﺩﻳﺔ ﻭﻋﻠﻮﻡ ﺍﻟﺘﺼﺮﻑ
