program_code_3digit,formula,bac_type
119,FG+(A+F)/2,Sciences Techniques
119,FG+(A+F)/2,Sport
119,FG+(A+F)/2,Economie et Gestion
120,FG+PH,Informatique
120,FG+(HG+PH)/2,Lettres
120,FG+PH,Mathematiques
120,FG+PH,Sciences Experimentales
120,FG+PH,Sciences Techniques
120,FG+(HG+PH)/2,Economie et Gestion
121,FG+PH,Informatique
121,FG+PH,Lettres
121,FG+PH,Mathematiques
121,FG+PH,Sciences Experimentales
121,FG+PH,Sciences Techniques
121,FG+PH,Sport
121,FG+PH,Economie et Gestion
122,FG+PH,Informatique
122,FG+PH,Lettres
122,FG+PH,Mathematiques
122,FG+PH,Sciences Experimentales
122,FG+PH,Sciences Techniques
122,FG+PH,Sport
122,FG+PH,Economie et Gestion
123,FG+F,Informatique
123,FG+(F+HG)/2,Lettres
123,FG+F,Mathematiques
123,FG+F,Sciences Experimentales
123,FG+F,Sciences Techniques
123,FG+F,Sport
123,FG+(F+HG)/2,Economie et Gestion
124,FG+F,Informatique
124,FG+(F+HG)/2,Lettres
124,FG+F,Mathematiques
124,FG+F,Sciences Experimentales
124,FG+F,Sciences Techniques
124,FG+(F+HG)/2,Economie et Gestion
138,FG+A,Informatique
138,FG+A,Lettres
138,FG+A,Mathematiques
138,FG+A,Sciences Experimentales
138,FG+A,Sciences Techniques
138,FG+A,Sport
138,FG+A,Economie et Gestion
139,FG+A,Informatique
139,FG+A,Lettres
139,FG+A,Mathematiques
139,FG+A,Sciences Experimentales
139,FG+A,Sciences Techniques
139,FG+A,Sport
139,FG+A,Economie et Gestion
147,FG+(A+Ang+F)/3,Informatique
147,FG+(A+Ang+F)/3,Lettres
147,FG+(A+Ang+F)/3,Mathematiques
147,FG+(A+Ang+F)/3,Sciences Experimentales
147,FG+(A+Ang+F)/3,Sciences Techniques
147,FG+(A+Ang+F)/3,Sport
147,FG+(A+Ang+F)/3,Economie et Gestion
158,FG+(M+Algo)/2,Informatique
158,FG+(M+Info)/2,Mathematiques
158,FG+(M+Info)/2,Sciences Experimentales
